Lottery: PB
Action: LAST
Input: /Users/vipinvasanthakumarpadma/Documents/Projects/JavaProjects/General/lottery/files/pb-sorted.txt
Output: /Users/vipinvasanthakumarpadma/Documents/Projects/JavaProjects/General/lottery/files/pb_stats/pb-last.txt
Started: 2026-08-18T00:09:43.831044
##########################################################################

| Number | Total occurrences | Draws since last occurrence |
|------:|------------------:|-----------------------------:|
| 70 | 0 | 0 |
| 71 | 0 | 0 |
| 72 | 0 | 0 |
| 73 | 0 | 0 |
| 74 | 0 | 0 |
| 75 | 0 | 0 |
| 13 | 114 | 22 |
| 35 | 116 | 2 |
| 46 | 119 | 7 |
| 34 | 120 | 28 |
| 49 | 121 | 24 |
| 26 | 124 | 0 |
| 65 | 125 | 7 |
| 51 | 126 | 33 |
| 15 | 129 | 42 |
| 60 | 130 | 3 |
| 4 | 133 | 1 |
| 48 | 133 | 4 |
| 1 | 134 | 33 |
| 29 | 136 | 12 |
| 55 | 136 | 1 |
| 58 | 137 | 7 |
| 43 | 138 | 15 |
| 22 | 139 | 9 |
| 2 | 140 | 11 |
| 38 | 140 | 12 |
| 5 | 141 | 3 |
| 8 | 141 | 5 |
| 14 | 142 | 4 |
| 30 | 142 | 4 |
| 31 | 142 | 27 |
| 11 | 144 | 57 |
| 10 | 145 | 14 |
| 18 | 145 | 12 |
| 24 | 145 | 8 |
| 7 | 146 | 12 |
| 25 | 146 | 13 |
| 42 | 146 | 6 |
| 68 | 146 | 18 |
| 9 | 147 | 2 |
| 45 | 147 | 14 |
| 40 | 149 | 6 |
| 6 | 150 | 2 |
| 39 | 150 | 18 |
| 67 | 150 | 0 |
| 41 | 151 | 4 |
| 66 | 151 | 0 |
| 54 | 152 | 1 |
| 17 | 153 | 5 |
| 50 | 153 | 5 |
| 56 | 154 | 11 |
| 12 | 155 | 16 |
| 44 | 155 | 10 |
| 57 | 155 | 6 |
| 19 | 156 | 22 |
| 20 | 156 | 3 |
| 47 | 158 | 8 |
| 37 | 159 | 1 |
| 52 | 160 | 32 |
| 59 | 163 | 3 |
| 16 | 164 | 20 |
| 36 | 164 | 6 |
| 33 | 165 | 46 |
| 3 | 167 | 9 |
| 53 | 167 | 10 |
| 27 | 168 | 5 |
| 63 | 178 | 2 |
| 21 | 179 | 21 |
| 62 | 181 | 25 |
| 32 | 188 | 29 |
| 23 | 191 | 67 |
| 69 | 191 | 0 |
| 28 | 192 | 20 |
| 61 | 200 | 3 |
| 64 | 200 | 1 |

| Number | Total occurrences | Draws since last occurrence |
|------:|------------------:|-----------------------------:|
| 23 | 191 | 67 |
| 11 | 144 | 57 |
| 33 | 165 | 46 |
| 15 | 129 | 42 |
| 1 | 134 | 33 |
| 51 | 126 | 33 |
| 52 | 160 | 32 |
| 32 | 188 | 29 |
| 34 | 120 | 28 |
| 31 | 142 | 27 |
| 62 | 181 | 25 |
| 49 | 121 | 24 |
| 13 | 114 | 22 |
| 19 | 156 | 22 |
| 21 | 179 | 21 |
| 16 | 164 | 20 |
| 28 | 192 | 20 |
| 39 | 150 | 18 |
| 68 | 146 | 18 |
| 12 | 155 | 16 |
| 43 | 138 | 15 |
| 10 | 145 | 14 |
| 45 | 147 | 14 |
| 25 | 146 | 13 |
| 7 | 146 | 12 |
| 18 | 145 | 12 |
| 29 | 136 | 12 |
| 38 | 140 | 12 |
| 2 | 140 | 11 |
| 56 | 154 | 11 |
| 44 | 155 | 10 |
| 53 | 167 | 10 |
| 3 | 167 | 9 |
| 22 | 139 | 9 |
| 24 | 145 | 8 |
| 47 | 158 | 8 |
| 46 | 119 | 7 |
| 58 | 137 | 7 |
| 65 | 125 | 7 |
| 36 | 164 | 6 |
| 40 | 149 | 6 |
| 42 | 146 | 6 |
| 57 | 155 | 6 |
| 8 | 141 | 5 |
| 17 | 153 | 5 |
| 27 | 168 | 5 |
| 50 | 153 | 5 |
| 14 | 142 | 4 |
| 30 | 142 | 4 |
| 41 | 151 | 4 |
| 48 | 133 | 4 |
| 5 | 141 | 3 |
| 20 | 156 | 3 |
| 59 | 163 | 3 |
| 60 | 130 | 3 |
| 61 | 200 | 3 |
| 6 | 150 | 2 |
| 9 | 147 | 2 |
| 35 | 116 | 2 |
| 63 | 178 | 2 |
| 4 | 133 | 1 |
| 37 | 159 | 1 |
| 54 | 152 | 1 |
| 55 | 136 | 1 |
| 64 | 200 | 1 |
| 26 | 124 | 0 |
| 66 | 151 | 0 |
| 67 | 150 | 0 |
| 69 | 191 | 0 |
| 70 | 0 | 0 |
| 71 | 0 | 0 |
| 72 | 0 | 0 |
| 73 | 0 | 0 |
| 74 | 0 | 0 |
| 75 | 0 | 0 |
##########################################################################
Completed: 2026-08-18T00:09:44.045697
