"Date","White Ball 1","White Ball 2","White Ball 3","White Ball 4","White Ball 5","Powerball","White Ball Sum","White Ball Mean","Jackpot (Annuity)","Day Of Week","Ascendant Sign","Ascendant Deg","Moon Illum %","Moon Phase","Moon Nakshatra","Moon Nakshatra (ML)","Nakshatra No","Pada","Sun Sign","Sun Deg","Sun House","Sun Dignity","Moon Sign","Moon Deg","Moon House","Moon Dignity","Mercury Sign","Mercury Deg","Mercury House","Mercury Dignity","Venus Sign","Venus Deg","Venus House","Venus Dignity","Mars Sign","Mars Deg","Mars House","Mars Dignity","Jupiter Sign","Jupiter Deg","Jupiter House","Jupiter Dignity","Saturn Sign","Saturn Deg","Saturn House","Saturn Dignity","Rahu Sign","Rahu Deg","Rahu House","Rahu Dignity"
"2026-08-12","4","26","66","67","69","9","232","46.4","$1,040,200,000","Wednesday","Pisces","24","0","Waxing","Magha","മകം","10","1","Cancer","26","5","","Leo","1","6","","Cancer","12","5","","Virgo","12","7","DEBILITATED","Gemini","7","4","","Cancer","15","5","EXALTED","Pisces","20","1","","Aquarius","6","12",""
"2026-08-10","6","37","54","55","64","10","216","43.2","","Monday","Pisces","21","4","Waning","Punarvasu","പുണർതം","7","4","Cancer","24","5","","Cancer","2","5","","Cancer","8","5","","Virgo","10","7","DEBILITATED","Gemini","6","4","","Cancer","15","5","EXALTED","Pisces","20","1","","Aquarius","6","12",""
"2026-08-08","5","9","35","54","63","7","166","33.2","","Saturday","Pisces","18","18","Waning","Mrigashira","മകയിരം","5","3","Cancer","22","5","","Gemini","3","4","","Cancer","5","5","","Virgo","8","7","DEBILITATED","Gemini","4","4","","Cancer","15","5","EXALTED","Pisces","20","1","","Aquarius","6","12",""
"2026-08-05","14","20","59","60","61","25","214","42.8","","Wednesday","Pisces","14","50","Waning","Bharani","ഭരണി","2","2","Cancer","19","5","","Aries","20","2","","Cancer","1","5","","Virgo","5","7","DEBILITATED","Gemini","2","4","","Cancer","14","5","EXALTED","Pisces","20","1","","Aquarius","6","12",""
"2026-08-03","8","30","41","48","54","4","181","36.2","","Monday","Pisces","11","71","Waning","Revati","രേവതി","27","2","Cancer","18","5","","Pisces","22","1","","Gemini","28","4","","Virgo","3","7","DEBILITATED","Gemini","1","4","","Cancer","13","5","EXALTED","Pisces","20","1","","Aquarius","6","12",""
"2026-08-01","6","17","27","48","50","5","148","29.6","","Saturday","Pisces","8","88","Waning","Purva Bhadrapada","പൂരുരുട്ടാതി","25","2","Cancer","16","5","","Aquarius","26","12","","Gemini","26","4","","Virgo","1","7","DEBILITATED","Gemini","0","3","","Cancer","13","5","EXALTED","Pisces","20","1","","Aquarius","6","12",""
"2026-07-29","30","36","40","42","57","2","205","41.0","","Wednesday","Pisces","4","100","Waning","Shravana","തിരുവോണം","22","3","Cancer","13","5","","Capricorn","19","11","","Gemini","24","4","","Leo","28","6","","Taurus","28","3","","Cancer","12","5","EXALTED","Pisces","21","1","","Aquarius","6","12",""
"2026-07-27","6","26","46","58","65","25","201","40.2","","Monday","Pisces","1","98","Waxing","Purva Ashadha","പൂരാടം","20","4","Cancer","11","5","","Sagittarius","24","10","","Gemini","23","4","","Leo","26","6","","Taurus","26","3","","Cancer","12","5","EXALTED","Pisces","21","1","","Aquarius","6","12",""
"2026-07-25","3","4","24","36","47","17","114","22.8","","Saturday","Aquarius","28","89","Waxing","Mula","മൂലം","19","1","Cancer","9","6","","Sagittarius","0","11","","Gemini","22","5","","Leo","24","7","","Taurus","25","4","","Cancer","11","6","EXALTED","Pisces","21","2","","Aquarius","6","1",""
"2026-07-22","4","5","22","50","58","1","139","27.8","","Wednesday","Aquarius","24","66","Waxing","Vishakha","വിശാഖം","16","2","Cancer","6","6","","Libra","25","9","","Gemini","22","5","","Leo","20","7","","Taurus","23","4","","Cancer","11","6","EXALTED","Pisces","21","2","","Aquarius","6","1",""
"2026-07-20","2","9","44","53","59","8","167","33.4","","Monday","Aquarius","21","47","Waxing","Chitra","ചിത്തിര","14","3","Cancer","4","6","","Libra","0","9","","Gemini","22","5","","Leo","18","7","","Taurus","21","4","","Cancer","10","6","EXALTED","Pisces","20","2","","Aquarius","6","1",""
"2026-07-18","9","14","44","50","56","3","173","34.6","","Saturday","Aquarius","18","27","Waxing","Uttara Phalguni","ഉത്രം","12","3","Cancer","2","6","","Virgo","5","8","","Gemini","23","5","","Leo","16","7","","Taurus","20","4","","Cancer","10","6","EXALTED","Pisces","20","2","","Aquarius","6","1",""
"2026-07-15","2","7","18","29","38","16","94","18.8","","Wednesday","Aquarius","14","4","Waxing","Ashlesha","ആയില്യം","9","2","Gemini","29","5","","Cancer","23","6","","Gemini","25","5","","Leo","13","7","","Taurus","18","4","","Cancer","9","6","EXALTED","Pisces","20","2","","Aquarius","6","1",""
"2026-07-13","5","25","36","40","48","3","154","30.8","","Monday","Aquarius","11","0","Waning","Punarvasu","പുണർതം","7","2","Gemini","27","5","","Gemini","24","5","","Gemini","26","5","","Leo","11","7","","Taurus","17","4","","Cancer","9","6","EXALTED","Pisces","20","2","","Aquarius","6","1",""
"2026-07-11","8","10","14","45","59","5","136","27.2","","Saturday","Aquarius","8","8","Waning","Mrigashira","മകയിരം","5","1","Gemini","26","5","","Taurus","23","4","EXALTED","Gemini","27","5","","Leo","8","7","","Taurus","15","4","","Cancer","8","6","EXALTED","Pisces","20","2","","Aquarius","6","1",""
"2026-07-08","12","29","37","43","55","18","176","35.2","","Wednesday","Aquarius","4","36","Waning","Ashwini","അശ്വതി","1","3","Gemini","23","5","","Aries","10","3","","Gemini","29","5","","Leo","5","7","","Taurus","13","4","","Cancer","8","6","EXALTED","Pisces","20","2","","Aquarius","6","1",""
"2026-07-06","17","44","63","66","67","4","257","51.4","","Monday","Aquarius","2","58","Waning","Uttara Bhadrapada","ഉത്രട്ടാതി","26","3","Gemini","21","5","","Pisces","12","2","","Cancer","0","6","","Leo","3","7","","Taurus","12","4","","Cancer","7","6","EXALTED","Pisces","20","2","","Aquarius","7","1",""
"2026-07-04","17","38","46","50","69","20","220","44.0","","Saturday","Capricorn","29","77","Waning","Shatabhisha","ചതയം","24","3","Gemini","19","6","","Aquarius","16","2","","Cancer","1","7","","Leo","1","8","","Taurus","10","5","","Cancer","7","7","EXALTED","Pisces","20","3","","Aquarius","6","2",""
"2026-07-01","2","6","26","39","68","6","141","28.2","","Wednesday","Capricorn","25","96","Waning","Uttara Ashadha","ഉത്രാടം","21","4","Gemini","16","6","","Capricorn","10","1","","Cancer","2","7","","Cancer","27","7","","Taurus","8","5","","Cancer","6","7","EXALTED","Pisces","20","3","","Aquarius","7","2",""
"2026-06-29","10","14","41","53","59","3","177","35.4","","Monday","Capricorn","23","100","Waning","Purva Ashadha","പൂരാടം","20","1","Gemini","14","6","","Sagittarius","16","12","","Cancer","2","7","","Cancer","25","7","","Taurus","7","5","","Cancer","6","7","EXALTED","Pisces","20","3","","Aquarius","7","2",""
"2026-06-27","3","16","28","30","59","11","136","27.2","","Saturday","Capricorn","20","97","Waxing","Jyeshtha","തൃക്കേട്ട","18","2","Gemini","12","6","","Scorpio","22","11","DEBILITATED","Cancer","2","7","","Cancer","23","7","","Taurus","5","5","","Cancer","5","7","EXALTED","Pisces","20","3","","Aquarius","7","2",""
"2026-06-24","13","14","16","21","38","14","102","20.4","","Wednesday","Capricorn","17","80","Waxing","Swati","ചോതി","15","3","Gemini","9","6","","Libra","16","10","","Cancer","1","7","","Cancer","19","7","","Taurus","3","5","","Cancer","5","7","EXALTED","Pisces","20","3","","Aquarius","8","2",""
"2026-06-22","17","19","21","45","48","13","150","30.0","","Monday","Capricorn","14","62","Waxing","Hasta","അത്തം","13","4","Gemini","7","6","","Virgo","22","9","","Cancer","0","7","","Cancer","17","7","","Taurus","2","5","","Cancer","4","7","EXALTED","Pisces","20","3","","Aquarius","8","2",""
"2026-06-20","16","20","44","48","50","15","178","35.6","","Saturday","Capricorn","12","42","Waxing","Purva Phalguni","പൂരം","11","4","Gemini","6","6","","Leo","26","8","","Gemini","29","6","","Cancer","15","7","","Taurus","0","5","","Cancer","4","7","EXALTED","Pisces","19","3","","Aquarius","8","2",""
"2026-06-17","3","26","49","53","61","12","192","38.4","","Wednesday","Capricorn","9","13","Waxing","Pushya","പൂയ്യം","8","4","Gemini","3","6","","Cancer","15","7","","Gemini","27","6","","Cancer","11","7","","Aries","28","4","","Cancer","3","7","EXALTED","Pisces","19","3","","Aquarius","8","2",""
"2026-06-15","25","55","57","60","62","23","259","51.8","","Monday","Capricorn","6","2","Waxing","Ardra","തിരുവാതിര","6","3","Gemini","1","6","","Gemini","15","6","","Gemini","25","6","","Cancer","9","7","","Aries","27","4","","Cancer","3","7","EXALTED","Pisces","19","3","","Aquarius","8","2",""
"2026-06-13","3","13","44","50","53","2","163","32.6","","Saturday","Capricorn","4","2","Waning","Rohini","രോഹിണി","4","2","Taurus","29","5","","Taurus","15","5","EXALTED","Gemini","23","6","","Cancer","7","7","","Aries","25","4","","Cancer","2","7","EXALTED","Pisces","19","3","","Aquarius","8","2",""
"2026-06-10","12","31","38","60","66","14","207","41.4","","Wednesday","Capricorn","1","22","Waning","Ashwini","അശ്വതി","1","1","Taurus","26","5","","Aries","0","4","","Gemini","20","6","","Cancer","3","7","","Aries","23","4","","Cancer","2","7","EXALTED","Pisces","19","3","","Aquarius","9","2",""
"2026-06-08","3","24","34","43","49","20","153","30.6","","Monday","Sagittarius","29","43","Waning","Purva Bhadrapada","പൂരുരുട്ടാതി","25","4","Taurus","24","6","","Pisces","3","4","","Gemini","17","7","","Cancer","1","8","","Aries","22","5","","Cancer","1","8","EXALTED","Pisces","19","4","","Aquarius","9","3",""
"2026-06-06","16","32","55","59","64","3","226","45.2","","Saturday","Sagittarius","27","63","Waning","Shatabhisha","ചതയം","24","1","Taurus","22","6","","Aquarius","7","3","","Gemini","15","7","","Gemini","28","7","","Aries","20","5","","Cancer","1","8","EXALTED","Pisces","19","4","","Aquarius","9","3",""
"2026-06-03","14","16","38","55","64","12","187","37.4","","Wednesday","Sagittarius","24","88","Waning","Uttara Ashadha","ഉത്രാടം","21","2","Taurus","19","6","","Capricorn","0","2","","Gemini","10","7","","Gemini","25","7","","Aries","18","5","","Cancer","0","8","EXALTED","Pisces","18","4","","Aquarius","9","3",""
"2026-06-01","2","42","47","57","58","14","206","41.2","","Monday","Sagittarius","22","97","Waning","Mula","മൂലം","19","2","Taurus","17","6","","Sagittarius","7","1","","Gemini","7","7","","Gemini","22","7","","Aries","16","5","","Cancer","0","8","EXALTED","Pisces","18","4","","Aquarius","9","3",""
"2026-05-30","1","27","35","44","52","12","159","31.8","","Saturday","Sagittarius","20","100","Waxing","Anuradha","അനിഴം","17","3","Taurus","15","6","","Scorpio","13","12","DEBILITATED","Gemini","3","7","","Gemini","20","7","","Aries","15","5","","Cancer","0","7","EXALTED","Pisces","18","4","","Aquarius","10","3",""
"2026-05-27","5","14","21","31","51","13","122","24.4","","Wednesday","Sagittarius","17","91","Waxing","Swati","ചോതി","15","1","Taurus","13","6","","Libra","7","11","","Taurus","28","6","","Gemini","17","7","","Aries","13","5","","Gemini","29","7","","Pisces","18","4","","Aquarius","10","3",""
"2026-05-25","17","32","48","60","64","10","221","44.2","","Monday","Sagittarius","15","76","Waxing","Hasta","അത്തം","13","1","Taurus","11","6","","Virgo","12","10","","Taurus","24","6","","Gemini","14","7","","Aries","11","5","","Gemini","29","7","","Pisces","18","4","","Aquarius","10","3",""
"2026-05-23","4","16","41","48","66","26","175","35.0","","Saturday","Sagittarius","13","57","Waxing","Purva Phalguni","പൂരം","11","2","Taurus","9","6","","Leo","17","9","","Taurus","20","6","","Gemini","12","7","","Aries","10","5","","Gemini","28","7","","Pisces","17","4","","Aquarius","10","3",""
"2026-05-20","10","28","30","46","57","25","171","34.2","","Wednesday","Sagittarius","10","25","Waxing","Pushya","പൂയ്യം","8","1","Taurus","6","6","","Cancer","6","8","","Taurus","14","6","","Gemini","8","7","","Aries","7","5","","Gemini","28","7","","Pisces","17","4","","Aquarius","11","3",""
"2026-05-18","4","13","34","61","65","12","177","35.4","","Monday","Sagittarius","8","8","Waxing","Mrigashira","മകയിരം","5","4","Taurus","4","6","","Gemini","7","7","","Taurus","9","6","","Gemini","6","7","","Aries","6","5","","Gemini","28","7","","Pisces","17","4","","Aquarius","11","3",""
