| Date       | Jackpot (Annuity)    |
|------------|----------------------|
| 2026-08-12 | $1,040,200,000      |
| 2026-05-02 | $20,000,000         |
| 2026-04-29 | $143,400,000        |
| 2026-04-06 | $230,800,000        |
| 2026-03-02 | $250,800,000        |
| 2026-01-21 | $209,300,000        |
| 2025-12-24 | $1,816,800,000      |
| 2025-09-06 | $1,787,400,000      |
| 2025-05-31 | $204,500,000        |
| 2025-04-26 | $167,300,000        |
| 2025-03-29 | $526,500,000        |
| 2025-01-18 | $328,500,000        |
| 2024-12-07 | $256,000,000        |
| 2024-10-23 | $478,200,000        |
| 2024-08-19 | $44,300,000         |
| 2024-08-12 | $213,800,000        |
| 2024-07-03 | $139,300,000        |
| 2024-06-10 | $222,600,000        |
| 2024-05-06 | $214,900,000        |
| 2024-04-06 | $1,325,900,000      |
| 2024-01-01 | $842,400,000        |
| 2023-10-11 | $1,764,900,000      |
| 2023-07-19 | $1,080,800,000      |
| 2023-04-19 | $252,600,000        |
| 2023-03-04 | $162,600,000        |
| 2023-02-06 | $754,600,000        |
| 2022-11-19 | $92,900,000         |
| 2022-11-07 | $2,040,100,000      |
| 2022-08-03 | $206,900,000        |
| 2022-06-29 | $366,700,000        |
| 2022-04-27 | $473,100,000        |
| 2022-02-14 | $185,300,000        |
| 2022-01-05 | $632,600,000        |
| 2021-10-04 | $699,800,000        |
| 2021-06-05 | $285,600,000        |
| 2021-03-27 | $235,400,000        |
| 2021-01-30 | $33,200,000         |
| 2021-01-23 | $23,200,000         |
| 2021-01-20 | $731,100,000        |
| 2020-09-16 | $94,800,000         |
| 2020-08-12 | $168,500,000        |
| 2020-06-10 | $22,000,000         |
| 2020-06-03 | $136,400,000        |
| 2020-04-08 | $190,000,000        |
| 2020-02-12 | $70,000,000         |
| 2020-01-29 | $396,900,000        |
| 2019-11-02 | $150,000,000        |
| 2019-09-21 | $80,000,000         |
| 2019-09-04 | $80,000,000         |
| 2019-08-17 | $148,000,000        |
| 2019-07-13 | $198,000,000        |
| 2019-06-01 | $344,600,000        |
| 2019-03-27 | $768,400,000        |
| 2018-12-26 | $298,300,000        |
| 2018-10-27 | $687,800,000        |
| 2018-08-11 | $245,600,000        |
| 2018-06-20 | $150,400,000        |
| 2018-05-19 | $315,300,000        |
| 2018-03-24 | $55,900,000         |
| 2018-03-17 | $456,700,000        |
| 2018-01-06 | $559,700,000        |
| 2017-10-25 | $191,100,000        |
| 2017-09-16 | $133,200,000        |
| 2017-08-23 | $758,700,000        |
| 2017-06-10 | $447,800,000        |
| 2017-04-01 | $60,000,000         |
| 2017-03-22 | $156,200,000        |
| 2017-02-22 | $435,300,000        |
| 2016-12-17 | $121,600,000        |
| 2016-11-26 | $420,900,000        |
| 2016-09-17 | $246,800,000        |
| 2016-07-30 | $487,000,000        |
| 2016-05-07 | $429,600,000        |
| 2016-03-02 | $291,400,000        |
| 2016-01-13 | $1,586,400,000      |
| 2015-11-04 | $144,100,000        |
| 2015-09-30 | $310,500,000        |
| 2015-08-01 | $110,000,000        |
| 2015-07-04 | $70,000,000         |
| 2015-06-20 | $80,000,000         |
| 2015-06-03 | $188,900,000        |
| 2015-04-18 | $50,000,000         |
| 2015-04-11 | $80,000,000         |
| 2015-03-25 | $40,000,000         |
| 2015-03-21 | $50,000,000         |
| 2015-03-14 | $136,000,000        |
| 2015-02-11 | $564,100,000        |
| 2014-11-29 | $90,000,000         |
| 2014-11-08 | $202,600,000        |
| 2014-09-24 | $228,500,000        |
| 2014-08-09 | $90,000,000         |
| 2014-07-19 | $60,000,000         |
| 2014-07-09 | $124,900,000        |
| 2014-06-11 | $259,800,000        |
| 2014-04-23 | $148,800,000        |
| 2014-03-22 | $96,500,000         |
| 2014-03-01 | $60,000,000         |
| 2014-02-19 | $425,300,000        |
